Title,Year,Liters Pure Alcohol Consumed,NumericValue,Min,Max
Norway,2010,6.6 [5.3 - 7.8],6.57,5.274731791,7.841575553
Andorra,2000,12.7 [10.8 - 14.4],12.67833333,10.83112086,14.40029399
Finland,2010,9.8 [8.1 - 11.4],9.83,8.145675729,11.35209434
Lithuania,2016,12.1 [10.2 - 13.8],12.06333333,10.17443988,13.77841501
Iceland,2000,6.3 [5.1 - 7.5],6.326666667,5.054275505,7.522021375
Georgia,2022,8.7 [7.1 - 10.2],8.66702231,7.149295119,10.15036284
Norway,2017,6.0 [4.9 - 7.2],6.016666667,4.850471548,7.219431893
Luxembourg,2012,11.7 [10.1 - 13.4],11.68166667,10.07662752,13.37993192
Kyrgyzstan,2004,6.1 [4.8 - 7.4],6.06,4.792875012,7.351870234
Ukraine,2005,6.8 [5.4 - 8.1],6.795427075,5.398714591,8.133225072
Georgia,2013,7.4 [6.0 - 8.7],7.361483414,6.019631654,8.665594857
Switzerland,2001,10.4 [8.7 - 12.0],10.39,8.677794748,11.99753801
Finland,2019,8.2 [6.8 - 9.7],8.24,6.818718105,9.680061067
North Macedonia,2011,3.7 [2.8 - 4.6],3.714887785,2.760625411,4.64671226
Uzbekistan,2018,2.6 [1.8 - 3.4],2.573333333,1.770005509,3.366142132
France,2010,12.4 [10.6 - 14.2],12.43333333,10.60439137,14.23826005
Türkiye,2000,1.5 [0.9 - 2.0],1.485854149,0.871658866,2.031755676
Georgia,2021,8.7 [7.1 - 10.2],8.66702231,7.149295119,10.15036284
Malta,2008,6.4 [5.1 - 7.6],6.440346386,5.144793146,7.634988302
Serbia,2012,9.1 [7.6 - 10.7],9.130852573,7.636366246,10.6656928
Iceland,2011,6.8 [5.6 - 8.2],6.813333333,5.564272727,8.183522694
Switzerland,2021,8.5 [7.1 - 10.1],8.546666667,7.100067785,10.10794892
Slovenia,2001,11.4 [9.7 - 13.2],11.42,9.673390547,13.20196763
Bosnia and Herzegovina,2007,4.6 [3.5 - 5.7],4.5914174,3.488039868,5.692695862
Israel,2022,2.6 [1.7 - 3.4],2.579043596,1.735716973,3.380624715
Luxembourg,2000,13.3 [11.4 - 15.0],13.27833333,11.41844373,15.00437471
Kazakhstan,2017,3.9 [2.8 - 4.9],3.856666667,2.818921685,4.885756867
Bulgaria,2004,9.6 [7.9 - 11.3],9.642723839,7.928245884,11.30126956
Cyprus,2009,6.2 [4.8 - 7.4],6.161459222,4.828280773,7.407935611
Hungary,2022,10.6 [9.0 - 12.0],10.55,9.032833746,12.03952604
Germany,2009,11.3 [9.6 - 12.9],11.29666667,9.551054856,12.94030252
Albania,2020,4.3 [3.3 - 5.3],4.274719413,3.285051888,5.332446282
Malta,2013,7.1 [5.8 - 8.5],7.126285469,5.825564455,8.464422323
Tajikistan,2007,0.7 [0.3 - 1.1],0.696151584,0.312067931,1.139966269
Greece,2017,6.7 [5.4 - 7.9],6.708676719,5.445478138,7.887135172
Romania,2018,10.7 [9.1 - 12.4],10.71,9.14732004,12.365331
Bosnia and Herzegovina,2000,3.5 [2.5 - 4.4],3.492754924,2.482025345,4.392053014
Norway,2003,6.1 [4.8 - 7.2],6.05,4.810320343,7.175723028
Poland,2013,10.5 [8.8 - 12.2],10.49,8.837387053,12.23614463
Armenia,2009,3.9 [2.9 - 4.9],3.928774609,2.883128211,4.930123218
Turkmenistan,2018,2.8 [1.9 - 3.7],2.816824287,1.946130096,3.687957933
Latvia,2018,12.9 [11.0 - 14.6],12.9,11.01354537,14.59884381
Montenegro,2022,7.3 [5.9 - 8.7],7.270128841,5.943899089,8.653718202
Belarus,2007,13.3 [11.4 - 15.1],13.25666667,11.36529351,15.05230108
Andorra,2005,12.4 [10.5 - 14.0],12.37,10.51136351,14.03983987
Germany,2021,10.5 [8.9 - 12.0],10.52666667,8.890701748,12.02496841
Republic of Moldova,2014,8.2 [6.8 - 9.7],8.229937013,6.808406742,9.690633606
Netherlands (Kingdom of the),2015,8.3 [6.9 - 9.8],8.313333333,6.890911314,9.795058165
Russian Federation,2019,7.3 [5.9 - 8.6],7.27,5.886928932,8.609328095
Austria,2012,12.0 [10.3 - 13.8],12.00666667,10.30152712,13.7749578
Andorra,2019,10.5 [8.9 - 12.2],10.52666667,8.929172194,12.20965013
Ireland,2022,10.2 [8.4 - 11.7],10.15,8.396947515,11.66265651
Lithuania,2007,13.6 [11.7 - 15.4],13.61,11.6661674,15.43116063
Portugal,2022,10.4 [8.8 - 12.0],10.39196854,8.77169469,12.02868286
Estonia,2021,12.1 [10.2 - 13.8],12.05666667,10.1984948,13.79582662
Portugal,2008,11.5 [9.9 - 13.2],11.50666667,9.853695194,13.22739056
Germany,2000,12.6 [10.8 - 14.5],12.56,10.76874665,14.47489026
Ireland,2004,13.5 [11.6 - 15.3],13.46,11.64974332,15.30762725
Finland,2002,9.2 [7.7 - 10.6],9.166666667,7.66660767,10.5837279
Albania,2018,4.3 [3.3 - 5.4],4.33767853,3.252097068,5.383681048
Bulgaria,2021,10.8 [9.2 - 12.4],10.7971544,9.179176638,12.42873978
Iceland,2021,7.9 [6.5 - 9.2],7.86,6.533374174,9.235298953
Luxembourg,2017,11.4 [9.6 - 13.1],11.40666667,9.583359508,13.09172595
Estonia,2017,13.2 [11.3 - 15.0],13.16666667,11.28276091,15.00363614
Armenia,2003,3.1 [2.1 - 3.9],3.06947282,2.142219001,3.92766417
Denmark,2020,9.5 [7.9 - 11.0],9.456666667,7.903819253,11.01239125
Belarus,2013,12.1 [10.3 - 14.0],12.14666667,10.26316835,13.98178444
Luxembourg,2018,11.3 [9.6 - 13.2],11.28,9.565591575,13.20229042
Sweden,2016,7.1 [5.8 - 8.4],7.106666667,5.828229046,8.419766315
Netherlands (Kingdom of the),2000,9.9 [8.3 - 11.6],9.906666667,8.310356506,11.61042498
Estonia,2012,17.0 [15.0 - 19.0],16.99333333,14.99461122,19.01650576
Croatia,2017,10.0 [8.5 - 11.6],10.03256964,8.477668102,11.59760739
Malta,2009,6.4 [5.0 - 7.7],6.371177772,5.026665899,7.66485209
Lithuania,2009,12.9 [11.0 - 14.7],12.89666667,10.97445152,14.73083478
Ireland,2005,13.4 [11.6 - 15.2],13.44,11.57678301,15.15163409
Armenia,2011,4.0 [3.0 - 5.0],3.98188151,2.989756626,4.980167308
Bosnia and Herzegovina,2004,3.9 [3.0 - 4.9],3.912875861,2.995051651,4.909504205
Bulgaria,2014,10.2 [8.6 - 11.8],10.19942675,8.600417764,11.83168935
Israel,2020,2.5 [1.7 - 3.3],2.513373835,1.711960308,3.260334611
Slovakia,2009,10.7 [9.1 - 12.4],10.74333333,9.084147687,12.38362088
Norway,2019,6.4 [5.1 - 7.7],6.433333333,5.113124347,7.67135475
Belarus,2012,13.2 [11.4 - 15.1],13.17333333,11.41403658,15.06623372
France,2000,14.0 [12.1 - 16.0],13.99666667,12.11140676,16.03419027
Tajikistan,2022,0.7 [0.3 - 1.1],0.72237897,0.311562072,1.137910001
Norway,2002,5.8 [4.5 - 7.1],5.806666667,4.539541159,7.068261743
