Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
952,SA_0000001823,COUNTRY,JOR,EMR,Eastern Mediterranean,YEAR,2016,,,,,,,,,0.0 [0.0 - 0.0],0,0,0,,2025-06-18T14:11:35Z,2016,2016-01-01,2016-12-31
2519,SA_0000001823,COUNTRY,ERI,AFR,Africa,YEAR,2011,,,,,,,,,0.0 [0.0 - 0.0],0.002985036,-0.04359105,0.048534983,,2025-06-18T14:11:35Z,2011,2011-01-01,2011-12-31
3307,SA_0000001823,COUNTRY,SLE,AFR,Africa,YEAR,2012,,,,,,,,,0.0 [0.0 - 0.0],0,0,0,,2025-06-18T14:11:35Z,2012,2012-01-01,2012-12-31
4214,SA_0000001823,COUNTRY,JPN,WPR,Western Pacific,YEAR,2022,,,,,,,,,0.0 [-0.1 - 0.1],0.004686768,-0.051302813,0.058384208,,2025-06-18T14:11:35Z,2022,2022-01-01,2022-12-31
9189,SA_0000001823,COUNTRY,PRK,SEAR,South-East Asia,YEAR,2015,,,,,,,,,0.0 [0.0 - 0.0],0,0,0,,2025-06-18T14:11:35Z,2015,2015-01-01,2015-12-31
13499,SA_0000001823,COUNTRY,KWT,EMR,Eastern Mediterranean,YEAR,2013,,,,,,,,,0.0 [0.0 - 0.0],0,0,0,,2025-06-18T14:11:35Z,2013,2013-01-01,2013-12-31
13773,SA_0000001823,COUNTRY,MUS,AFR,Africa,YEAR,2022,,,,,,,,,-0.1 [-0.3 - 0.1],-0.067520856,-0.277359276,0.137560344,,2025-06-18T14:11:35Z,2022,2022-01-01,2022-12-31
13919,SA_0000001823,COUNTRY,KAZ,EUR,Europe,YEAR,2019,,,,,,,,,0.1 [-0.2 - 0.2],0.064419305,-0.150441967,0.249751956,,2025-06-18T14:11:35Z,2019,2019-01-01,2019-12-31
14676,SA_0000001823,COUNTRY,CAF,AFR,Africa,YEAR,2009,,,,,,,,,0.0 [0.0 - 0.0],0.00277243,-0.042801334,0.044286996,,2025-06-18T14:11:35Z,2009,2009-01-01,2009-12-31
17781,SA_0000001823,COUNTRY,AFG,EMR,Eastern Mediterranean,YEAR,2005,,,,,,,,,0.0 [0.0 - 0.0],0,0,0,,2025-06-18T14:11:35Z,2005,2005-01-01,2005-12-31
20897,SA_0000001823,COUNTRY,JAM,AMR,Americas,YEAR,2004,,,,,,,,,-0.1 [-0.3 - 0.1],-0.09478078,-0.325019769,0.140427164,,2025-06-18T14:11:35Z,2004,2004-01-01,2004-12-31
23691,SA_0000001823,COUNTRY,LBR,AFR,Africa,YEAR,2007,,,,,,,,,0.0 [0.0 - 0.0],0,0,0,,2025-06-18T14:11:35Z,2007,2007-01-01,2007-12-31
25355,SA_0000001823,COUNTRY,DNK,EUR,Europe,YEAR,2001,,,,,,,,,0.0 [-0.2 - 0.1],-0.023268788,-0.150752869,0.096881409,,2025-06-18T14:11:35Z,2001,2001-01-01,2001-12-31
33438,SA_0000001823,COUNTRY,BHS,AMR,Americas,YEAR,2020,,,,,,,,,-0.7 [-1.3 - 0.0],-0.656617422,-1.307445699,-0.022296144,,2025-06-18T14:11:35Z,2020,2020-01-01,2020-12-31
35283,SA_0000001823,COUNTRY,BRN,WPR,Western Pacific,YEAR,2002,,,,,,,,,0.0 [0.0 - 0.0],0,0,0,,2025-06-18T14:11:35Z,2002,2002-01-01,2002-12-31
38228,SA_0000001823,COUNTRY,BTN,SEAR,South-East Asia,YEAR,2000,,,,,,,,,0.0 [-0.1 - 0.1],-0.005809986,-0.069934617,0.056241721,,2025-06-18T14:11:35Z,2000,2000-01-01,2000-12-31
38901,SA_0000001823,COUNTRY,HND,AMR,Americas,YEAR,2017,,,,,,,,,0.0 [-0.1 - 0.2],0.040779688,-0.119204669,0.204882821,,2025-06-18T14:11:35Z,2017,2017-01-01,2017-12-31
39657,SA_0000001823,COUNTRY,KHM,WPR,Western Pacific,YEAR,2016,,,,,,,,,0.0 [-0.1 - 0.1],-0.019610824,-0.127794178,0.09516389,,2025-06-18T14:11:35Z,2016,2016-01-01,2016-12-31
39904,SA_0000001823,COUNTRY,BHS,AMR,Americas,YEAR,2019,,,,,,,,,-0.8 [-1.5 - -0.1],-0.775953358,-1.528863976,-0.116424498,,2025-06-18T14:11:35Z,2019,2019-01-01,2019-12-31
40090,SA_0000001823,COUNTRY,PRY,AMR,Americas,YEAR,2015,,,,,,,,,0.0 [-0.1 - 0.1],0.012146775,-0.070323949,0.10492517,,2025-06-18T14:11:35Z,2015,2015-01-01,2015-12-31
42464,SA_0000001823,COUNTRY,SOM,EMR,Eastern Mediterranean,YEAR,2022,,,,,,,,,0.0 [0.0 - 0.0],0,0,0,,2025-06-18T14:11:35Z,2022,2022-01-01,2022-12-31
45074,SA_0000001823,COUNTRY,KEN,AFR,Africa,YEAR,2009,,,,,,,,,0.0 [-0.1 - 0.1],-0.005552684,-0.067150642,0.058182381,,2025-06-18T14:11:35Z,2009,2009-01-01,2009-12-31
48445,SA_0000001823,COUNTRY,COD,AFR,Africa,YEAR,2012,,,,,,,,,0.0 [0.0 - 0.1],0.003826082,-0.042229304,0.051130595,,2025-06-18T14:11:35Z,2012,2012-01-01,2012-12-31
50028,SA_0000001823,COUNTRY,IRN,EMR,Eastern Mediterranean,YEAR,2017,,,,,,,,,0.0 [0.0 - 0.0],0,0,0,,2025-06-18T14:11:35Z,2017,2017-01-01,2017-12-31
