Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
1984773,SA_0000001818,COUNTRY,BWA,AFR,Africa,YEAR,2027,SEX,SEX_BTSX,,,,,,,8.3 [4.8 - 11.8],8.319317193,4.8160173,11.822617087,,2024-06-21T09:06:15Z,2027,2027-01-01,2027-12-31
2016560,SA_0000001818,COUNTRY,MWI,AFR,Africa,YEAR,2021,SEX,SEX_BTSX,,,,,,,3.6 [1.5 - 5.6],3.567498161,1.521598111,5.613398212,,2024-06-21T09:06:15Z,2021,2021-01-01,2021-12-31
8225991,SA_0000001818,COUNTRY,ROU,EUR,Europe,YEAR,2025,,,,,,,,,13.8 [7.5-20.1],13.8,7.5,20.1,,2018-08-24T12:05:11Z,2025,2025-01-01,2025-12-31
2226452,SA_0000001818,COUNTRY,COD,AFR,Africa,YEAR,2024,SEX,SEX_BTSX,,,,,,,2.0 [0.4 - 3.6],2.010503842,0.422550588,3.598457095,,2024-06-21T09:06:15Z,2024,2024-01-01,2024-12-31
5204095,SA_0000001818,COUNTRY,CIV,AFR,Africa,YEAR,2027,SEX,SEX_BTSX,,,,,,,2.8 [0.3 - 5.3],2.789736693,0.261162581,5.318310805,,2024-06-21T09:06:15Z,2027,2027-01-01,2027-12-31
6904815,SA_0000001818,COUNTRY,SYC,AFR,Africa,YEAR,2029,SEX,SEX_BTSX,,,,,,,11.6 [6.1 - 17.1],11.57032485,6.050013819,17.090635882,,2024-06-21T09:06:15Z,2029,2029-01-01,2029-12-31
819088,SA_0000001818,COUNTRY,HRV,EUR,Europe,YEAR,2029,SEX,SEX_BTSX,,,,,,,8.2 [4.0 - 12.3],8.15752153,4.006976171,12.30806689,,2024-06-21T09:06:15Z,2029,2029-01-01,2029-12-31
895636,SA_0000001818,COUNTRY,DMA,AMR,Americas,YEAR,2022,SEX,SEX_BTSX,,,,,,,5.4 [2.9 - 7.8],5.352472352,2.925573711,7.779370992,,2024-06-21T09:06:15Z,2022,2022-01-01,2022-12-31
7044127,SA_0000001818,COUNTRY,RUS,EUR,Europe,YEAR,2028,SEX,SEX_BTSX,,,,,,,10.0 [6.2 - 13.8],10.012994904,6.211978106,13.814011702,,2024-06-21T09:06:15Z,2028,2028-01-01,2028-12-31
5439569,SA_0000001818,COUNTRY,PRT,EUR,Europe,YEAR,2026,SEX,SEX_BTSX,,,,,,,10.5 [7.2 - 13.8],10.47893229,7.18294894,13.77491564,,2024-06-21T09:06:15Z,2026,2026-01-01,2026-12-31
7717234,SA_0000001818,COUNTRY,FJI,WPR,Western Pacific,YEAR,2028,SEX,SEX_BTSX,,,,,,,4.1 [1.4 - 6.7],4.084834297,1.422360676,6.747307918,,2024-06-21T09:06:15Z,2028,2028-01-01,2028-12-31
3388696,SA_0000001818,COUNTRY,LBN,EMR,Eastern Mediterranean,YEAR,2026,SEX,SEX_BTSX,,,,,,,1.4 [0.1 - 2.7],1.412001493,0.144693425,2.679309561,,2024-06-21T09:06:15Z,2026,2026-01-01,2026-12-31
9806648,SA_0000001818,COUNTRY,PAK,EMR,Eastern Mediterranean,YEAR,2027,SEX,SEX_BTSX,,,,,,,0.1 [0.0 - 0.6],0.120125523,0,0.626591026,,2024-06-21T09:06:15Z,2027,2027-01-01,2027-12-31
8200571,SA_0000001818,COUNTRY,GRD,AMR,Americas,YEAR,2024,SEX,SEX_BTSX,,,,,,,8.1 [5.1 - 11.0],8.059627904,5.099260595,11.019995213,,2024-06-21T09:06:15Z,2024,2024-01-01,2024-12-31
6612708,SA_0000001818,COUNTRY,LKA,SEAR,South-East Asia,YEAR,2025,,,,,,,,,5.1 [4.1-6.1],5.1,4.1,6.1,,2018-08-24T12:05:13Z,2025,2025-01-01,2025-12-31
3993490,SA_0000001818,COUNTRY,CYP,EUR,Europe,YEAR,2022,SEX,SEX_BTSX,,,,,,,7.0 [4.7 - 9.4],7.023846916,4.682480063,9.365213769,,2024-06-21T09:06:15Z,2022,2022-01-01,2022-12-31
5369404,SA_0000001818,COUNTRY,BGD,SEAR,South-East Asia,YEAR,2028,SEX,SEX_BTSX,,,,,,,0.0 [0.0 - 0.1],0.006486484,0,0.142748119,,2024-06-21T09:06:15Z,2028,2028-01-01,2028-12-31
8715628,SA_0000001818,COUNTRY,KIR,WPR,Western Pacific,YEAR,2029,SEX,SEX_BTSX,,,,,,,0.7 [0.0 - 2.5],0.69251074,0,2.495271368,,2024-06-21T09:06:15Z,2029,2029-01-01,2029-12-31
4457123,SA_0000001818,COUNTRY,POL,EUR,Europe,YEAR,2022,SEX,SEX_BTSX,,,,,,,11.7 [8.1 - 15.3],11.719353284,8.14879781,15.289908758,,2024-06-21T09:06:15Z,2022,2022-01-01,2022-12-31
1228410,SA_0000001818,COUNTRY,FRA,EUR,Europe,YEAR,2025,,,,,,,,,12.1 [10.2-14],12.1,10.2,14,,2018-08-24T12:05:09Z,2025,2025-01-01,2025-12-31
5815061,SA_0000001818,COUNTRY,NAM,AFR,Africa,YEAR,2025,SEX,SEX_BTSX,,,,,,,5.7 [3.5 - 8.0],5.737109104,3.508916884,7.965301325,,2024-06-21T09:06:15Z,2025,2025-01-01,2025-12-31
9128965,SA_0000001818,COUNTRY,DMA,AMR,Americas,YEAR,2025,,,,,,,,,6.9 [3.9-9.9],6.9,3.9,9.9,,2018-08-24T12:05:16Z,2025,2025-01-01,2025-12-31
7545426,SA_0000001818,COUNTRY,UZB,EUR,Europe,YEAR,2026,SEX,SEX_BTSX,,,,,,,2.5 [0.4 - 4.7],2.533849525,0.357513111,4.710185939,,2024-06-21T09:06:15Z,2026,2026-01-01,2026-12-31
1896096,SA_0000001818,COUNTRY,SLV,AMR,Americas,YEAR,2027,SEX,SEX_BTSX,,,,,,,3.4 [1.5 - 5.4],3.423068517,1.489881798,5.356255236,,2024-06-21T09:06:15Z,2027,2027-01-01,2027-12-31
9856147,SA_0000001818,COUNTRY,MDA,EUR,Europe,YEAR,2026,SEX,SEX_BTSX,,,,,,,11.5 [7.4 - 15.7],11.504233337,7.351387312,15.657079362,,2024-06-21T09:06:15Z,2026,2026-01-01,2026-12-31
4082382,SA_0000001818,COUNTRY,DNK,EUR,Europe,YEAR,2026,SEX,SEX_BTSX,,,,,,,9.2 [5.9 - 12.5],9.183900062,5.86927274,12.498527385,,2024-06-21T09:06:15Z,2026,2026-01-01,2026-12-31
4088581,SA_0000001818,COUNTRY,BGR,EUR,Europe,YEAR,2021,SEX,SEX_BTSX,,,,,,,11.7 [8.7 - 14.7],11.695509217,8.708177668,14.682840766,,2024-06-21T09:06:15Z,2021,2021-01-01,2021-12-31
6955227,SA_0000001818,COUNTRY,ESP,EUR,Europe,YEAR,2027,SEX,SEX_BTSX,,,,,,,11.0 [7.1 - 15.0],11.020442203,7.060675143,14.980209264,,2024-06-21T09:06:15Z,2027,2027-01-01,2027-12-31
5363100,SA_0000001818,GLOBAL,GLOBAL,,,YEAR,2024,SEX,SEX_BTSX,,,,,,,5.2 [4.5 - 5.8],5.155047049,4.518901081,5.83600889,,2024-06-21T09:06:15Z,2024,2024-01-01,2024-12-31
5567065,SA_0000001818,COUNTRY,BIH,EUR,Europe,YEAR,2025,SEX,SEX_BTSX,,,,,,,6.3 [3.9 - 8.7],6.274645106,3.881972538,8.667317674,,2024-06-21T09:06:15Z,2025,2025-01-01,2025-12-31
9345222,SA_0000001818,COUNTRY,THA,SEAR,South-East Asia,YEAR,2029,SEX,SEX_BTSX,,,,,,,7.8 [4.3 - 11.2],7.750343824,4.313300717,11.18738693,,2024-06-21T09:06:15Z,2029,2029-01-01,2029-12-31
234237,SA_0000001818,COUNTRY,VUT,WPR,Western Pacific,YEAR,2028,SEX,SEX_BTSX,,,,,,,2.4 [0.0 - 4.9],2.449562207,0,4.916736302,,2024-06-21T09:06:15Z,2028,2028-01-01,2028-12-31
6361460,SA_0000001818,COUNTRY,TUR,EUR,Europe,YEAR,2029,SEX,SEX_BTSX,,,,,,,1.6 [0.0 - 3.3],1.598667007,0,3.317531067,,2024-06-21T09:06:15Z,2029,2029-01-01,2029-12-31
9774868,SA_0000001818,COUNTRY,CMR,AFR,Africa,YEAR,2024,SEX,SEX_BTSX,,,,,,,9.9 [6.0 - 13.9],9.944887285,6.02607744,13.863697129,,2024-06-21T09:06:15Z,2024,2024-01-01,2024-12-31
4076259,SA_0000001818,COUNTRY,HTI,AMR,Americas,YEAR,2021,SEX,SEX_BTSX,,,,,,,3.1 [1.3 - 5.0],3.131144072,1.296198831,4.966089313,,2024-06-21T09:06:15Z,2021,2021-01-01,2021-12-31
882919,SA_0000001818,COUNTRY,STP,AFR,Africa,YEAR,2028,SEX,SEX_BTSX,,,,,,,5.1 [2.1 - 8.0],5.075658883,2.129222839,8.022094927,,2024-06-21T09:06:15Z,2028,2028-01-01,2028-12-31
9781242,SA_0000001818,COUNTRY,MKD,EUR,Europe,YEAR,2028,SEX,SEX_BTSX,,,,,,,4.8 [2.4 - 7.2],4.812751563,2.391481059,7.234022066,,2024-06-21T09:06:15Z,2028,2028-01-01,2028-12-31
9925952,SA_0000001818,COUNTRY,ITA,EUR,Europe,YEAR,2022,SEX,SEX_BTSX,,,,,,,7.4 [4.9 - 9.9],7.366641764,4.861894315,9.871389212,,2024-06-21T09:06:15Z,2022,2022-01-01,2022-12-31
6866864,SA_0000001818,COUNTRY,NOR,EUR,Europe,YEAR,2027,SEX,SEX_BTSX,,,,,,,6.9 [4.2 - 9.5],6.863539511,4.243780181,9.483298841,,2024-06-21T09:06:15Z,2027,2027-01-01,2027-12-31
4177804,SA_0000001818,COUNTRY,KAZ,EUR,Europe,YEAR,2024,SEX,SEX_BTSX,,,,,,,4.4 [2.5 - 6.4],4.403500194,2.456650954,6.350349434,,2024-06-21T09:06:15Z,2024,2024-01-01,2024-12-31
1011836,SA_0000001818,COUNTRY,NGA,AFR,Africa,YEAR,2021,SEX,SEX_BTSX,,,,,,,3.8 [1.6 - 6.0],3.841817347,1.63847988,6.045154814,,2024-06-21T09:06:15Z,2021,2021-01-01,2021-12-31
4368670,SA_0000001818,COUNTRY,ESP,EUR,Europe,YEAR,2026,SEX,SEX_BTSX,,,,,,,11.0 [7.2 - 14.8],11.025369621,7.24152953,14.809209712,,2024-06-21T09:06:15Z,2026,2026-01-01,2026-12-31
7456838,SA_0000001818,COUNTRY,IRN,EMR,Eastern Mediterranean,YEAR,2028,SEX,SEX_BTSX,,,,,,,0.1 [0.0 - 1.1],0.118673879,0,1.050026187,,2024-06-21T09:06:15Z,2028,2028-01-01,2028-12-31
5872420,SA_0000001818,COUNTRY,YEM,EMR,Eastern Mediterranean,YEAR,2029,SEX,SEX_BTSX,,,,,,,0.0 [0.0 - 0.3],0.021067499,0,0.28850908199999997,,2024-06-21T09:06:15Z,2029,2029-01-01,2029-12-31
3267878,SA_0000001818,COUNTRY,TCD,AFR,Africa,YEAR,2029,SEX,SEX_BTSX,,,,,,,4.0 [0.9 - 7.1],4.037018936,0.930324786,7.143713086,,2024-06-21T09:06:15Z,2029,2029-01-01,2029-12-31
9881771,SA_0000001818,COUNTRY,NOR,EUR,Europe,YEAR,2025,SEX,SEX_BTSX,,,,,,,6.8 [4.3 - 9.4],6.831467844,4.273677447,9.389258241,,2024-06-21T09:06:15Z,2025,2025-01-01,2025-12-31
