population_group,measure,location,sex,age,cause,metric,year,val,upper,lower
All Population,Prevalence,Austria,Both,25-29 years,Alcohol use disorders,Number,2005,30182.70751,39171.99542,23268.43589
All Population,Prevalence,Austria,Both,25-29 years,Alcohol use disorders,Percent,2005,0.06082699,0.079085312,0.047080835
All Population,Prevalence,Austria,Both,25-29 years,Alcohol use disorders,Rate,2005,5946.839786,7717.98159,4584.534382
All Population,Prevalence,Austria,Both,30-34 years,Alcohol use disorders,Number,2005,30944.78439,41175.47867,21853.80574
All Population,Prevalence,Austria,Both,30-34 years,Alcohol use disorders,Percent,2005,0.053061336,0.070577615,0.037506397
All Population,Prevalence,Austria,Both,30-34 years,Alcohol use disorders,Rate,2005,5226.541596,6954.49512,3691.084847
All Population,Prevalence,Austria,Both,35-39 years,Alcohol use disorders,Number,2005,32599.22649,41093.6589,24858.12332
All Population,Prevalence,Austria,Both,35-39 years,Alcohol use disorders,Percent,2005,0.046895854,0.058975231,0.035891263
All Population,Prevalence,Austria,Both,35-39 years,Alcohol use disorders,Rate,2005,4643.744975,5853.773005,3541.028351
All Population,Prevalence,Austria,Both,40-44 years,Alcohol use disorders,Number,2005,28719.83917,35811.67406,22443.84364
All Population,Prevalence,Austria,Both,40-44 years,Alcohol use disorders,Percent,2005,0.041460221,0.05163013,0.032421275
All Population,Prevalence,Austria,Both,40-44 years,Alcohol use disorders,Rate,2005,4117.050769,5133.680565,3217.373299
All Population,Prevalence,Austria,Both,45-49 years,Alcohol use disorders,Number,2005,23482.27981,28207.4042,19244.50174
All Population,Prevalence,Austria,Both,45-49 years,Alcohol use disorders,Percent,2005,0.039497379,0.047534374,0.032360958
All Population,Prevalence,Austria,Both,45-49 years,Alcohol use disorders,Rate,2005,3931.794608,4722.953676,3222.235183
All Population,Prevalence,Austria,Both,50-54 years,Alcohol use disorders,Number,2005,19075.32679,23181.37008,15683.53074
All Population,Prevalence,Austria,Both,50-54 years,Alcohol use disorders,Percent,2005,0.038001218,0.046209125,0.031221575
All Population,Prevalence,Austria,Both,50-54 years,Alcohol use disorders,Rate,2005,3789.497328,4605.20236,3115.684385
All Population,Prevalence,Lithuania,Both,15-19 years,Alcohol use disorders,Number,2005,2496.165987,3466.5837,1635.259912
All Population,Prevalence,Lithuania,Both,15-19 years,Alcohol use disorders,Percent,2005,0.010168662,0.013896603,0.006684709
All Population,Prevalence,Lithuania,Both,15-19 years,Alcohol use disorders,Rate,2005,964.2028925,1339.049586,631.6576485
All Population,Prevalence,Lithuania,Both,20-24 years,Alcohol use disorders,Number,2005,5527.754195,7307.452306,3869.824497
All Population,Prevalence,Lithuania,Both,20-24 years,Alcohol use disorders,Percent,2005,0.024925147,0.032873507,0.017486371
All Population,Prevalence,Lithuania,Both,20-24 years,Alcohol use disorders,Rate,2005,2427.966438,3209.666768,1699.750688
All Population,Prevalence,Lithuania,Both,25-29 years,Alcohol use disorders,Number,2005,6475.716594,7875.292964,4946.356401
All Population,Prevalence,Lithuania,Both,25-29 years,Alcohol use disorders,Percent,2005,0.031514245,0.038432365,0.024042336
All Population,Prevalence,Lithuania,Both,25-29 years,Alcohol use disorders,Rate,2005,3107.475466,3779.084417,2373.587685
All Population,Prevalence,Lithuania,Both,30-34 years,Alcohol use disorders,Number,2005,8017.01649,9766.112869,6441.258255
All Population,Prevalence,Lithuania,Both,30-34 years,Alcohol use disorders,Percent,2005,0.035358787,0.043046636,0.028446272
All Population,Prevalence,Lithuania,Both,30-34 years,Alcohol use disorders,Rate,2005,3507.281391,4272.475424,2817.919264
All Population,Prevalence,Lithuania,Both,35-39 years,Alcohol use disorders,Number,2005,9400.380743,11371.86762,7753.265223
All Population,Prevalence,Lithuania,Both,35-39 years,Alcohol use disorders,Percent,2005,0.03956848,0.047890065,0.032619636
All Population,Prevalence,Lithuania,Both,35-39 years,Alcohol use disorders,Rate,2005,3939.318146,4765.488301,3249.078864
All Population,Prevalence,Lithuania,Both,40-44 years,Alcohol use disorders,Number,2005,11991.23679,14389.77123,9681.493292
All Population,Prevalence,Lithuania,Both,40-44 years,Alcohol use disorders,Percent,2005,0.04635015,0.055608682,0.037436864
All Population,Prevalence,Lithuania,Both,40-44 years,Alcohol use disorders,Rate,2005,4622.482432,5547.089587,3732.103155
All Population,Prevalence,Lithuania,Both,45-49 years,Alcohol use disorders,Number,2005,13995.65117,17052.98437,11194.47075
All Population,Prevalence,Lithuania,Both,45-49 years,Alcohol use disorders,Percent,2005,0.058152899,0.070815958,0.046497468
All Population,Prevalence,Lithuania,Both,45-49 years,Alcohol use disorders,Rate,2005,5806.565577,7075.002854,4644.401872
All Population,Prevalence,Lithuania,Both,50-54 years,Alcohol use disorders,Number,2005,13630.89311,17016.93364,10599.6105
All Population,Prevalence,Lithuania,Both,50-54 years,Alcohol use disorders,Percent,2005,0.067661202,0.084477558,0.052622651
All Population,Prevalence,Lithuania,Both,50-54 years,Alcohol use disorders,Rate,2005,6760.571411,8439.960182,5257.133424
All Population,Prevalence,Denmark,Both,15-19 years,Alcohol use disorders,Number,2005,5150.774613,7800.731576,2969.853803
All Population,Prevalence,Denmark,Both,15-19 years,Alcohol use disorders,Percent,2005,0.018115851,0.027437221,0.010403353
All Population,Prevalence,Denmark,Both,15-19 years,Alcohol use disorders,Rate,2005,1690.769063,2560.631479,974.8702492
All Population,Prevalence,Denmark,Both,20-24 years,Alcohol use disorders,Number,2005,13655.13619,20416.26856,8518.277307
