population_group,measure,location,sex,age,cause,metric,year,val,upper,lower
All Population,Prevalence,European Region,Male,25-29 years,Alcohol use disorders,Number,2006,1951572.9364342028,2445976.9645968024,1505586.7996306585
All Population,Prevalence,European Region,Female,25-29 years,Alcohol use disorders,Number,2006,768752.5927536119,984019.1180581206,580892.2876216191
All Population,Prevalence,European Region,Male,25-29 years,Alcohol use disorders,Percent,2006,0.0604648138648784,0.075455162983922,0.0470034610527117
All Population,Prevalence,European Region,Female,25-29 years,Alcohol use disorders,Percent,2006,0.0237218980912083,0.0304422449754528,0.017940732584766
All Population,Prevalence,European Region,Male,25-29 years,Alcohol use disorders,Rate,2006,5873.49280101703,7361.4610168053905,4531.24403594899
All Population,Prevalence,European Region,Female,25-29 years,Alcohol use disorders,Rate,2006,2357.06836999181,3017.09595584467,1781.07085482564
All Population,Prevalence,European Region,Male,30-34 years,Alcohol use disorders,Number,2006,1983513.4016707127,2519561.157811267,1459123.150126462
All Population,Prevalence,European Region,Female,30-34 years,Alcohol use disorders,Number,2006,786840.0528022205,1038064.5914274245,541441.4625603278
All Population,Prevalence,European Region,Male,30-34 years,Alcohol use disorders,Percent,2006,0.0619511135660475,0.0785308972675119,0.0456590579111114
All Population,Prevalence,European Region,Female,30-34 years,Alcohol use disorders,Percent,2006,0.0244170846695964,0.0322140664531553,0.016794183165216
All Population,Prevalence,European Region,Male,30-34 years,Alcohol use disorders,Rate,2006,6074.056392129501,7715.58011308329,4468.23111427664
All Population,Prevalence,European Region,Female,30-34 years,Alcohol use disorders,Rate,2006,2432.22548262589,3208.7933791495,1673.6663542984102
All Population,Prevalence,European Region,Male,35-39 years,Alcohol use disorders,Number,2006,1916596.0131098935,2353665.6832656665,1571234.8383240823
All Population,Prevalence,European Region,Female,35-39 years,Alcohol use disorders,Number,2006,778792.3522393917,992376.7014637688,595165.195332424
All Population,Prevalence,European Region,Male,35-39 years,Alcohol use disorders,Percent,2006,0.0602507671225041,0.0739388666843083,0.0494138366013071
All Population,Prevalence,European Region,Female,35-39 years,Alcohol use disorders,Percent,2006,0.024249960567872,0.0308941435557274,0.0185433587945245
All Population,Prevalence,European Region,Male,35-39 years,Alcohol use disorders,Rate,2006,5944.094661574391,7299.61427830024,4872.99803958549
All Population,Prevalence,European Region,Female,35-39 years,Alcohol use disorders,Rate,2006,2419.7656405938,3083.38806592403,1849.2224352249498
All Population,Prevalence,European Region,Male,40-44 years,Alcohol use disorders,Number,2006,1956764.671898038,2379932.77120379,1599889.01834823
All Population,Prevalence,European Region,Female,40-44 years,Alcohol use disorders,Number,2006,808205.9524895714,1054955.3324758052,606299.7079005477
All Population,Prevalence,European Region,Male,40-44 years,Alcohol use disorders,Percent,2006,0.0605435008929065,0.0737106617420913,0.0495680716612413
All Population,Prevalence,European Region,Female,40-44 years,Alcohol use disorders,Percent,2006,0.0244511674017599,0.0318945407556933,0.0183430997971183
All Population,Prevalence,European Region,Male,40-44 years,Alcohol use disorders,Rate,2006,5994.7410854766795,7291.15819040664,4901.41741019476
All Population,Prevalence,European Region,Female,40-44 years,Alcohol use disorders,Rate,2006,2441.5817123301103,3187.00900329151,1831.62506343971
All Population,Prevalence,European Region,Male,15-19 years,Alcohol use disorders,Number,2007,525648.2697403174,753838.3401460544,356416.17235824745
All Population,Prevalence,European Region,Female,15-19 years,Alcohol use disorders,Number,2007,230987.55752923596,335627.52951684,147168.8411104422
All Population,Prevalence,European Region,Male,15-19 years,Alcohol use disorders,Percent,2007,0.0173700014082343,0.0247775285384236,0.0117959083159246
All Population,Prevalence,European Region,Female,15-19 years,Alcohol use disorders,Percent,2007,0.0075908156924324,0.0109953204064262,0.004857593232033
All Population,Prevalence,European Region,Male,15-19 years,Alcohol use disorders,Rate,2007,1603.06878032494,2298.97971336826,1086.96189372541
All Population,Prevalence,European Region,Female,15-19 years,Alcohol use disorders,Rate,2007,737.74208331707,1071.94757801176,470.03677861062
All Population,Prevalence,European Region,Male,20-24 years,Alcohol use disorders,Number,2007,1592456.5776221598,2156543.6727240654,1150191.4938637011
All Population,Prevalence,European Region,Female,20-24 years,Alcohol use disorders,Number,2007,637449.0014474756,897274.8040081614,436879.450592252
All Population,Prevalence,European Region,Male,20-24 years,Alcohol use disorders,Percent,2007,0.0488892512206145,0.0662443322021572,0.034981272380405
All Population,Prevalence,European Region,Female,20-24 years,Alcohol use disorders,Percent,2007,0.0194773666399714,0.0273260175044705,0.0134091825916908
All Population,Prevalence,European Region,Male,20-24 years,Alcohol use disorders,Rate,2007,4661.78670741743,6313.10565621938,3367.0917577450105
All Population,Prevalence,European Region,Female,20-24 years,Alcohol use disorders,Rate,2007,1924.49775873247,2708.92784420356,1318.9659433019601
All Population,Prevalence,European Region,Male,25-29 years,Alcohol use disorders,Number,2007,1923754.8207280687,2405036.524844718,1485823.925395327
All Population,Prevalence,European Region,Female,25-29 years,Alcohol use disorders,Number,2007,764042.8745383685,977733.5385488851,576822.6471960574
All Population,Prevalence,European Region,Male,25-29 years,Alcohol use disorders,Percent,2007,0.0593188149402066,0.0739566335057725,0.0461483596591249
All Population,Prevalence,European Region,Female,25-29 years,Alcohol use disorders,Percent,2007,0.0234593378526991,0.0300992567940662,0.0176967931962523
All Population,Prevalence,European Region,Male,25-29 years,Alcohol use disorders,Rate,2007,5759.67048952327,7200.61504154213,4448.51709974572
All Population,Prevalence,European Region,Female,25-29 years,Alcohol use disorders,Rate,2007,2330.79477890133,2982.68108080108,1759.6593846241
All Population,Prevalence,European Region,Male,30-34 years,Alcohol use disorders,Number,2007,1946572.5754849988,2468235.135680736,1435339.7978747152
All Population,Prevalence,European Region,Female,30-34 years,Alcohol use disorders,Number,2007,778579.0222322699,1027382.2209858792,535595.1520599064
All Population,Prevalence,European Region,Male,30-34 years,Alcohol use disorders,Percent,2007,0.0607246352849959,0.0767508023601343,0.0449844889022588
All Population,Prevalence,European Region,Female,30-34 years,Alcohol use disorders,Percent,2007,0.0241269528023086,0.0318214849881883,0.0165894224395951
All Population,Prevalence,European Region,Male,30-34 years,Alcohol use disorders,Rate,2007,5952.45943860263,7547.66080397123,4389.15149379036
All Population,Prevalence,European Region,Female,30-34 years,Alcohol use disorders,Rate,2007,2403.1998477478796,3171.1678924680605,1653.19402543687
All Population,Prevalence,European Region,Male,35-39 years,Alcohol use disorders,Number,2007,1888045.977329806,2322663.6841137945,1538371.027218095
All Population,Prevalence,European Region,Female,35-39 years,Alcohol use disorders,Number,2007,768484.5038612909,980365.7542131566,584760.0659476407
All Population,Prevalence,European Region,Male,35-39 years,Alcohol use disorders,Percent,2007,0.0592572921985168,0.0727235878288216,0.0482995109768548
All Population,Prevalence,European Region,Female,35-39 years,Alcohol use disorders,Percent,2007,0.0238724089209976,0.0304477015652078,0.018181228283026
All Population,Prevalence,European Region,Male,35-39 years,Alcohol use disorders,Rate,2007,5845.5265504658,7191.134324224251,4762.90767918089
All Population,Prevalence,European Region,Female,35-39 years,Alcohol use disorders,Rate,2007,2382.04422432116,3038.80503876395,1812.56008508358
All Population,Prevalence,European Region,Male,40-44 years,Alcohol use disorders,Number,2007,1887088.2909245584,2297886.5023259977,1541010.4940649078
All Population,Prevalence,European Region,Female,40-44 years,Alcohol use disorders,Number,2007,772070.6722067548,1006356.9462805848,578396.5006377664
All Population,Prevalence,European Region,Male,40-44 years,Alcohol use disorders,Percent,2007,0.0588903488120094,0.071608478659327,0.0481593033165095
All Population,Prevalence,European Region,Female,40-44 years,Alcohol use disorders,Percent,2007,0.0235943417200369,0.0307327411783084,0.0176793643496998
All Population,Prevalence,European Region,Male,40-44 years,Alcohol use disorders,Rate,2007,5829.95582840718,7099.072614503971,4760.78578554939
All Population,Prevalence,European Region,Female,40-44 years,Alcohol use disorders,Rate,2007,2355.96474780864,3070.8866098652798,1764.9702479484101
All Population,Prevalence,European Region,Male,15-19 years,Alcohol use disorders,Number,2008,499003.3301476092,716741.1327434904,337939.38999444444
All Population,Prevalence,European Region,Female,15-19 years,Alcohol use disorders,Number,2008,222720.99058856227,324504.16508099186,140615.972389038
All Population,Prevalence,European Region,Male,15-19 years,Alcohol use disorders,Percent,2008,0.0169743705098288,0.0243790733841514,0.0115318865351879
All Population,Prevalence,European Region,Female,15-19 years,Alcohol use disorders,Percent,2008,0.0075291505360914,0.0109490383777398,0.0047722576669313
All Population,Prevalence,European Region,Male,15-19 years,Alcohol use disorders,Rate,2008,1565.2845404126301,2248.2892333190603,1060.05565653902
All Population,Prevalence,European Region,Female,15-19 years,Alcohol use disorders,Rate,2008,731.61071391977,1065.95576491224,461.90595541177
All Population,Prevalence,European Region,Male,20-24 years,Alcohol use disorders,Number,2008,1548647.4479043838,2103781.8835858847,1116626.5952136333
All Population,Prevalence,European Region,Female,20-24 years,Alcohol use disorders,Number,2008,629833.7972595135,890391.4222890851,430272.6157521264
All Population,Prevalence,European Region,Male,20-24 years,Alcohol use disorders,Percent,2008,0.047541734427532,0.0645496911829498,0.033988700653019
All Population,Prevalence,European Region,Female,20-24 years,Alcohol use disorders,Percent,2008,0.0192357328716882,0.0271031518252749,0.01320673563709
All Population,Prevalence,European Region,Male,20-24 years,Alcohol use disorders,Rate,2008,4530.15041606167,6154.04647980153,3266.3899338339797
All Population,Prevalence,European Region,Female,20-24 years,Alcohol use disorders,Rate,2008,1900.4057369210198,2686.5896596626,1298.26717933086
All Population,Prevalence,European Region,Male,25-29 years,Alcohol use disorders,Number,2008,1895855.2243466831,2362419.8525389857,1464029.518111448
All Population,Prevalence,European Region,Female,25-29 years,Alcohol use disorders,Number,2008,760047.1676232875,972136.8196983791,572032.0948826289
All Population,Prevalence,European Region,Male,25-29 years,Alcohol use disorders,Percent,2008,0.0580970713791957,0.0726156187639189,0.0451008412327893
All Population,Prevalence,European Region,Female,25-29 years,Alcohol use disorders,Percent,2008,0.0231867589004098,0.0297367359903054,0.0174371976042302
All Population,Prevalence,European Region,Male,25-29 years,Alcohol use disorders,Rate,2008,5638.712112942329,7026.3832740485195,4354.36254386193
All Population,Prevalence,European Region,Female,25-29 years,Alcohol use disorders,Rate,2008,2303.5322937394903,2946.3284036844702,1733.70082772375
All Population,Prevalence,European Region,Male,30-34 years,Alcohol use disorders,Number,2008,1911774.8192161096,2417283.7814485123,1413139.293629982
All Population,Prevalence,European Region,Female,30-34 years,Alcohol use disorders,Number,2008,769803.6371233445,1018269.6523440194,529517.7036443765
All Population,Prevalence,European Region,Male,30-34 years,Alcohol use disorders,Percent,2008,0.0594655020499237,0.0749637305138951,0.0441047839433549
All Population,Prevalence,European Region,Female,30-34 years,Alcohol use disorders,Percent,2008,0.0237810105469927,0.0314301818968519,0.0163500803667957
All Population,Prevalence,European Region,Male,30-34 years,Alcohol use disorders,Rate,2008,5827.628171344631,7368.561883600901,4307.64663014489
All Population,Prevalence,European Region,Female,30-34 years,Alcohol use disorders,Rate,2008,2368.6261484464,3133.13682658661,1629.2849480476
All Population,Prevalence,European Region,Male,35-39 years,Alcohol use disorders,Number,2008,1858260.1049553696,2283999.4888291187,1506556.354533852
All Population,Prevalence,European Region,Female,35-39 years,Alcohol use disorders,Number,2008,755266.0670817286,966050.0082730474,572551.9695451814
All Population,Prevalence,European Region,Male,35-39 years,Alcohol use disorders,Percent,2008,0.0583177829253984,0.0715071357362633,0.0472371337102446
All Population,Prevalence,European Region,Female,35-39 years,Alcohol use disorders,Percent,2008,0.0234356106663175,0.0299622740217283,0.0177810145398022
All Population,Prevalence,European Region,Male,35-39 years,Alcohol use disorders,Rate,2008,5752.27357194888,7070.15657436827,4663.56904489689
All Population,Prevalence,European Region,Female,35-39 years,Alcohol use disorders,Rate,2008,2338.41901917743,2991.0382728445197,1772.70828573722
All Population,Prevalence,European Region,Male,40-44 years,Alcohol use disorders,Number,2008,1827849.9906298744,2229765.960944639,1490804.2547979103
All Population,Prevalence,European Region,Female,40-44 years,Alcohol use disorders,Number,2008,739370.3328823611,962809.0564206984,552537.5566108581
All Population,Prevalence,European Region,Male,40-44 years,Alcohol use disorders,Percent,2008,0.0574504672084906,0.0698818236479871,0.0469280256709159
All Population,Prevalence,European Region,Female,40-44 years,Alcohol use disorders,Percent,2008,0.0227837394462567,0.0296512336327686,0.0170301774105379
All Population,Prevalence,European Region,Male,40-44 years,Alcohol use disorders,Rate,2008,5686.58487696465,6936.97702638547,4638.00912181365
All Population,Prevalence,European Region,Female,40-44 years,Alcohol use disorders,Rate,2008,2274.9725342840798,2962.47233856158,1700.10576506338
All Population,Prevalence,European Region,Male,15-19 years,Alcohol use disorders,Number,2009,474283.8777223743,681953.7218258946,318594.3802008762
All Population,Prevalence,European Region,Female,15-19 years,Alcohol use disorders,Number,2009,214603.36563079525,313768.84752740304,134941.84739525875
All Population,Prevalence,European Region,Male,15-19 years,Alcohol use disorders,Percent,2009,0.0166374233310419,0.0240490814598108,0.0112723120995243
All Population,Prevalence,European Region,Female,15-19 years,Alcohol use disorders,Percent,2009,0.0074786312400022,0.0109147690704178,0.0047109742406218
All Population,Prevalence,European Region,Male,15-19 years,Alcohol use disorders,Rate,2009,1533.05500502288,2204.3181637541197,1029.8109045676201
All Population,Prevalence,European Region,Female,15-19 years,Alcohol use disorders,Rate,2009,726.5876515432,1062.3345509155301,456.87577967674
All Population,Prevalence,European Region,Male,20-24 years,Alcohol use disorders,Number,2009,1502526.0114438229,2046298.6493914973,1079033.5373722396
All Population,Prevalence,European Region,Female,20-24 years,Alcohol use disorders,Number,2009,620920.6654242717,881952.1085247553,422761.1368301364
All Population,Prevalence,European Region,Male,20-24 years,Alcohol use disorders,Percent,2009,0.0462833613759673,0.0629607314592399,0.0330313248998563
All Population,Prevalence,European Region,Female,20-24 years,Alcohol use disorders,Percent,2009,0.0190204416052131,0.0269265705911728,0.0130164074760938
All Population,Prevalence,European Region,Male,20-24 years,Alcohol use disorders,Rate,2009,4407.08453014912,6002.03327803454,3164.93157113179
All Population,Prevalence,European Region,Female,20-24 years,Alcohol use disorders,Rate,2009,1878.94289942482,2668.83958647604,1279.3003686823301
All Population,Prevalence,European Region,Male,25-29 years,Alcohol use disorders,Number,2009,1864616.010461304,2324193.2038801494,1436441.7770428536
