location,sex,age,year,precent_of_prevalence,upper_bound,lower_bound
Albania,Male,40-44 years,2012,0.0215435856883247,0.0305474592157586,0.0147061132281124
Albania,Female,40-44 years,2012,0.0220858013707014,0.0321960377584956,0.0142130409988297
Albania,Both Sexes,40-44 years,2012,0.021828711,0.031257154,0.014204203
Albania,Male,15-19 years,2013,0.0095318139396417,0.0150253257477554,0.0050167102427126
Albania,Female,15-19 years,2013,0.0063520739687284,0.0103922969311924,0.0034499511110932
Albania,Both Sexes,15-19 years,2013,0.007926159,0.012636352,0.004271308
Albania,Male,20-24 years,2013,0.0264755353720747,0.0413471055482182,0.0157782814584758
Albania,Female,20-24 years,2013,0.0184395850345794,0.0295279518323724,0.0108057410892569
Albania,Both Sexes,20-24 years,2013,0.022592469,0.035768131,0.013530471
Albania,Male,25-29 years,2013,0.0331489760876677,0.0466449509220887,0.0218954772911691
Albania,Female,25-29 years,2013,0.0252473720110638,0.0363960791567782,0.0160968990164225
Albania,Both Sexes,25-29 years,2013,0.029403028,0.041093993,0.019938062
Albania,Male,30-34 years,2013,0.033573770194707,0.0480830604150215,0.0211476647576051
Albania,Female,30-34 years,2013,0.0274490840547795,0.0425825964478479,0.0160433464899079
Albania,Both Sexes,30-34 years,2013,0.030463274,0.044524549,0.018603353
Albania,Male,35-39 years,2013,0.0281721384996716,0.0384615620845904,0.0195345775024572
Albania,Female,35-39 years,2013,0.025374202075568,0.0349457583494535,0.016497467828097
Albania,Both Sexes,35-39 years,2013,0.026694733,0.036683514,0.018047573
Albania,Male,40-44 years,2013,0.0228472803777555,0.0317283933564334,0.0157239002318831
Albania,Female,40-44 years,2013,0.0226289847651956,0.032697188812994,0.0144418197424261
Albania,Both Sexes,40-44 years,2013,0.022732038,0.032430213,0.014821792
Albania,Male,15-19 years,2014,0.0095710843345037,0.0152202779367675,0.0051631622795523
Albania,Female,15-19 years,2014,0.0063331552500802,0.0104471814789326,0.0033733353749809
Albania,Both Sexes,15-19 years,2014,0.007933781,0.012773064,0.004425773
Albania,Male,20-24 years,2014,0.0267501267618262,0.0417447088830915,0.0157136624008056
Albania,Female,20-24 years,2014,0.0184318836341797,0.0294249978458772,0.0108404551480419
Albania,Both Sexes,20-24 years,2014,0.022706357,0.036124733,0.013534313
Albania,Male,25-29 years,2014,0.0339473474739416,0.0477087421480359,0.0224991452773359
Albania,Female,25-29 years,2014,0.0253219934472005,0.0364722385119856,0.0158998283223801
Albania,Both Sexes,25-29 years,2014,0.029903986,0.042157059,0.019967445
Albania,Male,30-34 years,2014,0.0347065376450436,0.0502369110922935,0.0213275028040405
Albania,Female,30-34 years,2014,0.0276264470253189,0.0422480947078073,0.0161788123053902
Albania,Both Sexes,30-34 years,2014,0.031148091,0.04549771,0.018832175
Albania,Male,35-39 years,2014,0.0293229946529503,0.0400259976587722,0.0199200434733853
Albania,Female,35-39 years,2014,0.0257208001193732,0.0357942778770143,0.0165913948448343
Albania,Both Sexes,35-39 years,2014,0.027428146,0.037669391,0.018403168
Albania,Male,40-44 years,2014,0.0239394095439764,0.0336945450457001,0.0160412868662243
Albania,Female,40-44 years,2014,0.0230840571257816,0.0336971018736919,0.0145167948369763
Albania,Both Sexes,40-44 years,2014,0.023486606,0.033428751,0.015445739
Albania,Male,15-19 years,2015,0.00959085070796,0.0154281416911554,0.0053612126182541
Albania,Female,15-19 years,2015,0.0063182771839277,0.0103842277685893,0.0033649431577423
Albania,Both Sexes,15-19 years,2015,0.007929623,0.012737164,0.00441841
Albania,Male,20-24 years,2015,0.0268748034039521,0.0421067116748975,0.0154773701005349
Albania,Female,20-24 years,2015,0.0184138602965687,0.0291700562455724,0.0107089207709902
Albania,Both Sexes,20-24 years,2015,0.022732783,0.036168658,0.013349874
Albania,Male,25-29 years,2015,0.0342873141696034,0.0486980278210547,0.0223467521114467
Albania,Female,25-29 years,2015,0.0253503582419699,0.0369289764070453,0.0157432076870725
Albania,Both Sexes,25-29 years,2015,0.030117414,0.042606852,0.019821849
Albania,Male,30-34 years,2015,0.0351903768237462,0.0514805438895721,0.0212582756624577
Albania,Female,30-34 years,2015,0.0276992643802003,0.0422393826571261,0.0161577783044741
Albania,Both Sexes,30-34 years,2015,0.031467258,0.046060739,0.018862463
Albania,Male,35-39 years,2015,0.0298082134548825,0.0406839966701578,0.0197729682786691
Albania,Female,35-39 years,2015,0.0258667529354112,0.0366596667831293,0.0164255055489578
Albania,Both Sexes,35-39 years,2015,0.027750076,0.038098281,0.018471841
Albania,Male,40-44 years,2015,0.0243983662410955,0.0345320100304641,0.0163645520686678
Albania,Female,40-44 years,2015,0.0232751690223603,0.0342978580269598,0.0147264103685368
Albania,Both Sexes,40-44 years,2015,0.02380211,0.034216966,0.015636744
Albania,Male,15-19 years,2016,0.009524620975423,0.0152390506257328,0.0050633453858894
Albania,Female,15-19 years,2016,0.0063023661994913,0.0103752025730164,0.0034711279437986
Albania,Both Sexes,15-19 years,2016,0.007879096,0.012751133,0.004310805
Albania,Male,20-24 years,2016,0.0265555227797893,0.0416045234644847,0.015349955293406
Albania,Female,20-24 years,2016,0.0183386278629161,0.0290981203248333,0.0105475455312789
Albania,Both Sexes,20-24 years,2016,0.022498286,0.035741614,0.013303885
Albania,Male,25-29 years,2016,0.0336313211243457,0.0477798782366049,0.0222969333434281
Albania,Female,25-29 years,2016,0.0252353656042003,0.0366773143462953,0.0157565675670996
Albania,Both Sexes,25-29 years,2016,0.029697506,0.042156809,0.01984963
Albania,Male,30-34 years,2016,0.0343715843572064,0.0496429211006248,0.0209200366467267
Albania,Female,30-34 years,2016,0.0275520603049311,0.0419704028990348,0.0161576755828143
Albania,Both Sexes,30-34 years,2016,0.031022195,0.045392027,0.018477286
Albania,Male,35-39 years,2016,0.029062680607252,0.0391670655790132,0.0196336470934993
Albania,Female,35-39 years,2016,0.0256916392855664,0.0358829051440453,0.0164447329611193
Albania,Both Sexes,35-39 years,2016,0.02731379,0.037312568,0.018241953
Albania,Male,40-44 years,2016,0.0237733021675502,0.0335251451840698,0.0160084963187962
Albania,Female,40-44 years,2016,0.0230985528499473,0.0333988336192655,0.0147251699394862
Albania,Both Sexes,40-44 years,2016,0.023415085,0.033511814,0.015443374
Albania,Male,15-19 years,2017,0.0093578092451043,0.0150613478515402,0.0049532104358441
Albania,Female,15-19 years,2017,0.0062791525687691,0.0103116269076859,0.0035286573296177
Albania,Both Sexes,15-19 years,2017,0.007778155,0.012452647,0.004196679
Albania,Male,20-24 years,2017,0.0257728839231113,0.0406291258985278,0.014942060355435
Albania,Female,20-24 years,2017,0.018191469016239,0.0286640298583967,0.0104763183350415
Albania,Both Sexes,20-24 years,2017,0.022002983,0.035021844,0.013012414
Albania,Male,25-29 years,2017,0.0320529149476189,0.0453302384195374,0.0214953754180236
Albania,Female,25-29 years,2017,0.0249559288473677,0.0363863855700924,0.0159840563347726
Albania,Both Sexes,25-29 years,2017,0.028711548,0.040442552,0.019272728
Albania,Male,30-34 years,2017,0.0323990247509674,0.0462445614201868,0.019863303496842
Albania,Female,30-34 years,2017,0.027186532517033,0.0413289594684991,0.0158176253742097
Albania,Both Sexes,30-34 years,2017,0.029870203,0.043967479,0.017625529
Albania,Male,35-39 years,2017,0.027279326925174,0.036930180423959,0.0184661935094232
