location,generation,liters_per_capita,percent_of_prevalence
Albania,Gen_Z,4.216621309,0.014243278500000001
Czechia,Gen_Z,13.05,0.0151761945
Germany,Gen_Z,10.82,0.0244846585
Ireland,Gen_Z,10.61333333,0.040968103
Italy,Gen_Z,7.816666667,0.023091885
