location,sex,age,year,percent_of_prevalence,upper_bound,lower_bound,generation,prevalence %
Albania,Male,25-29 years,2013,0.033148976,0.046644951,0.021895477,Millennial,3.31%
Albania,Female,25-29 years,2013,0.025247372,0.036396079,0.016096899,Millennial,2.52%
Albania,Both Sexes,25-29 years,2013,0.029403028,0.041093993,0.019938062,Millennial,2.94%
Albania,Male,30-34 years,2013,0.03357377,0.04808306,0.021147665,Millennial,3.36%
Albania,Female,30-34 years,2013,0.027449084,0.042582596,0.016043346,Millennial,2.74%
Albania,Both Sexes,30-34 years,2013,0.030463274,0.044524549,0.018603353,Millennial,3.05%
Albania,Male,35-39 years,2013,0.028172138,0.038461562,0.019534578,Gen_X,2.82%
Albania,Female,35-39 years,2013,0.025374202,0.034945758,0.016497468,Gen_X,2.54%
Albania,Both Sexes,35-39 years,2013,0.026694733,0.036683514,0.018047573,Gen_X,2.67%
Albania,Male,40-44 years,2013,0.02284728,0.031728393,0.0157239,Gen_X,2.28%
Albania,Female,40-44 years,2013,0.022628985,0.032697189,0.01444182,Gen_X,2.26%
Albania,Both Sexes,40-44 years,2013,0.022732038,0.032430213,0.014821792,Gen_X,2.27%
Albania,Male,15-19 years,2014,0.009571084,0.015220278,0.005163162,Gen_Z,0.96%
Albania,Female,15-19 years,2014,0.006333155,0.010447181,0.003373335,Gen_Z,0.63%
Albania,Both Sexes,15-19 years,2014,0.007933781,0.012773064,0.004425773,Gen_Z,0.79%
Albania,Male,20-24 years,2014,0.026750127,0.041744709,0.015713662,Millennial,2.68%
Albania,Female,20-24 years,2014,0.018431884,0.029424998,0.010840455,Millennial,1.84%
Albania,Both Sexes,20-24 years,2014,0.022706357,0.036124733,0.013534313,Millennial,2.27%
Albania,Male,25-29 years,2014,0.033947347,0.047708742,0.022499145,Millennial,3.39%
Albania,Female,25-29 years,2014,0.025321993,0.036472239,0.015899828,Millennial,2.53%
Albania,Both Sexes,25-29 years,2014,0.029903986,0.042157059,0.019967445,Millennial,2.99%
Albania,Male,30-34 years,2014,0.034706538,0.050236911,0.021327503,Millennial,3.47%
Albania,Female,30-34 years,2014,0.027626447,0.042248095,0.016178812,Millennial,2.76%
