location,sex,age,year,percent_of_prevalence,upper,lower
Bulgaria,Female,25-29 years,2005,0.0250232404198203,0.0360780339021974,0.0158760835579212
Bulgaria,Male,30-34 years,2005,0.0345268883249852,0.0492181626023751,0.022758374127874
Bulgaria,Female,30-34 years,2005,0.0272073178584486,0.0408255656953206,0.0165048700521894
Bulgaria,Male,35-39 years,2005,0.0351742985077673,0.0472136650469476,0.0253773969347961
Bulgaria,Female,35-39 years,2005,0.0255678729348956,0.0358028833952705,0.0165817646389156
Bulgaria,Male,40-44 years,2005,0.0349047851320073,0.0482910099391417,0.024989279300813
Bulgaria,Female,40-44 years,2005,0.0233606535429635,0.0350429233666744,0.0145904546940454
Latvia,Male,15-19 years,2005,0.013514701330337,0.0189426228726544,0.0089934335308606
Latvia,Female,15-19 years,2005,0.0058028321554793,0.0091852124755619,0.0035513174550856
Latvia,Male,20-24 years,2005,0.0330674673719162,0.0448136679136112,0.0231568569686766
Latvia,Female,20-24 years,2005,0.0149155245928747,0.0226495639603793,0.0095405280292588
Latvia,Male,25-29 years,2005,0.0419878229102538,0.0541384975601378,0.0331287513385315
Latvia,Female,25-29 years,2005,0.0191507187873328,0.0260551926640088,0.0134963862318424
Latvia,Male,30-34 years,2005,0.0480590781328438,0.0617272470983839,0.0383329756891166
Latvia,Female,30-34 years,2005,0.022358960598182,0.0302308786079716,0.0154932535209306
Latvia,Male,35-39 years,2005,0.0561043343916062,0.0703445861379725,0.0427241681361189
Latvia,Female,35-39 years,2005,0.0278295908276356,0.0357964297369411,0.0201541735858918
Latvia,Male,40-44 years,2005,0.0684588117572419,0.0842629680627454,0.0528343309874377
Latvia,Female,40-44 years,2005,0.0321181738564754,0.0421611247296437,0.0232712061896491
Romania,Male,15-19 years,2005,0.009508397050325,0.0153579692207452,0.0055757151426864
Romania,Female,15-19 years,2005,0.0065311249097371,0.0107525109364201,0.0035046966126359
