Title,Year,% of Pop. Abstainers,NumericValue,Min,Max
Kazakhstan,2000,80.7 [76.7 - 84.8],80.7257579,76.6710298,84.7804859
Cyprus,2012,41.6 [39.0 - 44.2],41.5782401,38.9768531,44.1796271
Sweden,2011,15.4 [14.6 - 16.3],15.4286599,14.5839921,16.2733276
Belgium,2019,15.1 [14.2 - 15.9],15.0529363,14.1728803,15.9329923
Denmark,2002,14.0 [13.2 - 14.8],14.0034521,13.240869,14.7660353
Croatia,2015,22.1 [20.9 - 23.2],22.0579974,20.867715,23.2482798
Iceland,2000,32.3 [30.6 - 34.0],32.3135961,30.5773988,34.0497934
Andorra,2008,11.9 [11.1 - 12.8],11.9088584,11.0671416,12.7505752
Luxembourg,2009,16.2 [14.8 - 17.6],16.1608081,14.7632293,17.5583869
Russian Federation,2012,26.1 [24.6 - 27.5],26.0590857,24.5882789,27.5298925
Luxembourg,2020,15.8 [13.9 - 17.7],15.804903,13.873521,17.7362849
United Kingdom of Great Britain and Northern Ireland,2007,14.2 [13.4 - 14.9],14.1681487,13.3975451,14.9387524
United Kingdom of Great Britain and Northern Ireland,2004,21.0 [19.9 - 22.1],21.0260776,19.9054215,22.1467336
Türkiye,2008,94.7 [93.5 - 95.9],94.6998894,93.4809729,95.9188058
Bosnia and Herzegovina,2004,59.5 [55.6 - 63.4],59.4646986,55.56333,63.3660672
Belarus,2014,20.9 [19.2 - 22.7],20.9344924,19.1870132,22.6819717
Germany,2003,21.4 [20.2 - 22.6],21.3953921,20.2155246,22.5752595
Republic of Moldova,2007,22.2 [20.4 - 24.1],22.2478254,20.4394166,24.0562342
Cyprus,2012,32.2 [30.0 - 34.3],32.1667362,30.0391916,34.2942808
United Kingdom of Great Britain and Northern Ireland,2000,14.4 [13.6 - 15.3],14.4402897,13.6012008,15.2793785
Bulgaria,2010,35.7 [33.7 - 37.7],35.7218761,33.7192396,37.7245125
Belgium,2018,22.3 [21.1 - 23.5],22.3081053,21.1055379,23.5106727
Malta,2005,27.2 [25.6 - 28.8],27.2062685,25.615496,28.797041
Denmark,2017,22.0 [20.8 - 23.3],22.045172,20.7975608,23.2927832
Georgia,2015,44.2 [41.2 - 47.1],44.1511717,41.1567361,47.1456073
Kazakhstan,2005,72.0 [67.9 - 76.1],71.9912007,67.8662767,76.1161246
Slovakia,2017,19.2 [18.2 - 20.3],19.2204662,18.1844652,20.2564672
Bulgaria,2000,36.4 [34.2 - 38.7],36.4378018,34.1943286,38.6812749
France,2020,16.2 [15.3 - 17.1],16.153541,15.25576,17.0513221
Kazakhstan,2001,81.2 [77.2 - 85.2],81.1876012,77.1699288,85.2052736
Switzerland,2009,20.0 [18.9 - 21.1],19.9846898,18.9031846,21.0661949
Romania,2018,31.0 [28.5 - 33.5],30.9884639,28.5050715,33.4718564
Turkmenistan,2006,90.7 [87.7 - 93.6],90.654953,87.7177415,93.5921646
Belgium,2010,22.0 [20.9 - 23.1],21.9676409,20.8711707,23.0641112
Italy,2001,30.7 [29.1 - 32.2],30.6651607,29.0942197,32.2361017
Ukraine,2018,34.3 [31.9 - 36.7],34.2919243,31.9048501,36.6789985
Ukraine,2016,23.8 [21.9 - 25.7],23.8140126,21.9171947,25.7108305
Lithuania,2019,31.6 [29.6 - 33.7],31.6386726,29.5574845,33.7198606
Estonia,2010,16.4 [15.3 - 17.6],16.4493585,15.3037148,17.5950023
Iceland,2001,24.2 [22.9 - 25.6],24.2342155,22.8994404,25.5689906
Romania,2009,31.5 [28.6 - 34.4],31.5122582,28.5774119,34.4471045
Türkiye,2017,84.7 [82.4 - 87.1],84.7261069,82.3952125,87.0570013
Sweden,2003,23.5 [22.3 - 24.7],23.5039021,22.3053969,24.7024072
Andorra,2005,15.1 [14.1 - 16.1],15.1147934,14.1015667,16.1280201
Poland,2007,35.5 [33.6 - 37.4],35.5017887,33.6444956,37.3590817
Israel,2017,39.7 [36.9 - 42.4],39.6513527,36.8889054,42.4138
France,2004,28.9 [27.4 - 30.5],28.9358572,27.3705197,30.5011948
Andorra,2000,19.9 [18.6 - 21.2],19.9103109,18.635156,21.1854658
Greece,2000,33.9 [31.9 - 35.8],33.8807389,31.9323559,35.829122
Republic of Moldova,2010,30.8 [28.6 - 33.1],30.8479832,28.6436855,33.0522809
Sweden,2014,30.0 [28.5 - 31.5],29.9873137,28.4788598,31.4957676
Hungary,2011,28.3 [26.9 - 29.7],28.3010004,26.8848361,29.7171646
Kyrgyzstan,2002,69.6 [65.6 - 73.6],69.5917178,65.564338,73.6190976
Iceland,2019,20.4 [19.1 - 21.6],20.386939,19.1316192,21.6422589
Bosnia and Herzegovina,2009,45.8 [42.1 - 49.4],45.7552845,42.0770129,49.4335561
Israel,2011,50.4 [47.3 - 53.6],50.4148432,47.2774586,53.5522278
Slovenia,2016,28.2 [26.7 - 29.6],28.1663491,26.7487285,29.5839696
Sweden,2010,30.0 [28.5 - 31.4],29.9582838,28.4764024,31.4401652
Poland,2001,30.7 [29.0 - 32.4],30.6970998,28.953842,32.4403575
Greece,2007,16.2 [15.3 - 17.1],16.1973691,15.2849895,17.1097487
Italy,2002,23.6 [22.4 - 24.8],23.5837041,22.3572687,24.8101395
Azerbaijan,2000,91.6 [88.9 - 94.3],91.5724942,88.8554857,94.2895027
Belarus,2019,30.9 [28.7 - 33.1],30.8704626,28.6524683,33.0884569
Latvia,2008,25.3 [23.6 - 27.0],25.2754197,23.5784096,26.9724298
France,2015,30.0 [28.5 - 31.5],30.0377229,28.541551,31.5338948
Kazakhstan,2004,80.7 [76.7 - 84.8],80.7306557,76.6993496,84.7619618
Poland,2002,21.5 [20.2 - 22.7],21.460462,20.1876277,22.7332963
North Macedonia,2016,69.3 [65.3 - 73.2],69.2793719,65.3210721,73.2376717
Switzerland,2013,19.8 [18.6 - 21.0],19.7671557,18.5621366,20.9721748
Sweden,2002,15.6 [14.7 - 16.5],15.6088186,14.743644,16.4739933
Georgia,2004,48.4 [45.2 - 51.6],48.3928611,45.207353,51.5783693
Iceland,2003,31.3 [29.6 - 32.9],31.2679552,29.621938,32.9139724
Poland,2011,27.2 [25.8 - 28.6],27.1963139,25.8233792,28.5692486
Croatia,2012,39.5 [37.6 - 41.5],39.5265352,37.6002346,41.4528357
Cyprus,2013,43.8 [41.1 - 46.5],43.8192954,41.0955245,46.5430663
Türkiye,2017,94.1 [92.7 - 95.5],94.126139,92.7441389,95.5081391
Lithuania,2002,18.0 [16.6 - 19.3],17.9529034,16.5886105,19.3171963
Georgia,2014,44.4 [41.4 - 47.3],44.3669266,41.3850554,47.3487979
Türkiye,2001,90.9 [89.2 - 92.6],90.9122846,89.2484978,92.5760714
Kyrgyzstan,2009,87.1 [83.8 - 90.4],87.0895111,83.7514837,90.4275385
Türkiye,2014,89.7 [87.9 - 91.5],89.7039284,87.9324674,91.4753894
Austria,2011,27.3 [25.9 - 28.7],27.2890547,25.9098911,28.6682183
Estonia,2014,29.1 [27.2 - 31.0],29.0805945,27.1882062,30.9729828
Luxembourg,2005,11.4 [10.6 - 12.2],11.3609653,10.56324,12.1586905
Norway,2003,16.7 [15.8 - 17.7],16.7279809,15.7841145,17.6718474
Uzbekistan,2011,81.5 [77.1 - 85.8],81.4525928,77.088284,85.8169016
France,2011,22.6 [21.4 - 23.7],22.5542551,21.3975849,23.7109254
Azerbaijan,2011,91.4 [88.0 - 94.7],91.366613,87.9834301,94.7497958
Kyrgyzstan,2018,88.2 [84.9 - 91.4],88.152863,84.8704373,91.4352887
Uzbekistan,2009,87.0 [83.3 - 90.6],86.9626501,83.3359955,90.5893046
Republic of Moldova,2011,21.6 [19.8 - 23.4],21.6101173,19.8474583,23.3727763
Portugal,2020,31.0 [29.4 - 32.5],30.9855108,29.4413182,32.5297034
Ukraine,2018,42.8 [40.0 - 45.6],42.7569454,39.9537525,45.5601384
Czechia,2020,18.1 [17.0 - 19.1],18.0863223,17.0329,19.1397446
Lithuania,2016,30.7 [28.8 - 32.6],30.695234,28.7830047,32.6074633
Israel,2008,29.9 [27.6 - 32.1],29.8506474,27.6156191,32.0856758
United Kingdom of Great Britain and Northern Ireland,2010,28.9 [27.5 - 30.3],28.9246405,27.5251837,30.3240972
Finland,2001,22.3 [21.0 - 23.5],22.2527499,21.0450478,23.460452
Iceland,2007,28.7 [27.2 - 30.2],28.6912817,27.1909987,30.1915646
Armenia,2017,38.6 [36.0 - 41.2],38.5670448,35.9568552,41.1772344
Kazakhstan,2016,66.8 [62.4 - 71.2],66.7748289,62.3632459,71.1864118
Tajikistan,2015,92.9 [90.1 - 95.7],92.8957002,90.103988,95.6874124
Slovenia,2015,19.1 [18.1 - 20.1],19.0766316,18.0674571,20.085806
Portugal,2009,28.0 [26.5 - 29.5],28.0117031,26.4919011,29.5315051
Belarus,2012,35.5 [33.0 - 38.1],35.5133332,32.9539751,38.0726912
Bulgaria,2001,25.3 [23.6 - 27.0],25.3143036,23.6405823,26.9880249
Latvia,2020,31.5 [29.6 - 33.5],31.5208981,29.5520674,33.4897288
Norway,2011,22.5 [21.0 - 23.9],22.4732763,21.0240856,23.922467
Germany,2003,28.4 [26.9 - 30.0],28.4153264,26.8736263,29.9570265
Poland,2004,29.0 [27.4 - 30.6],29.0445691,27.4456397,30.6434986
Slovakia,2001,20.1 [19.0 - 21.3],20.1352685,18.9553102,21.3152268
Sweden,2012,22.8 [21.6 - 23.9],22.7609993,21.5889134,23.9330853
Ireland,2000,23.9 [22.3 - 25.6],23.9482294,22.3413425,25.5551163
Poland,2006,28.4 [26.8 - 29.9],28.3809276,26.8499009,29.9119543
Cyprus,2010,40.5 [37.9 - 43.0],40.4592059,37.9148076,43.0036043
Greece,2010,16.8 [15.8 - 17.8],16.8067168,15.8487405,17.7646931
Republic of Moldova,2019,30.4 [28.2 - 32.5],30.3794158,28.2249628,32.5338687
Spain,2000,14.2 [13.3 - 15.1],14.1920117,13.2977935,15.0862299
Bosnia and Herzegovina,2017,56.6 [52.9 - 60.3],56.5909332,52.8588511,60.3230153
Kazakhstan,2010,67.2 [62.9 - 71.5],67.192443,62.9005657,71.4843203
Luxembourg,2000,11.2 [10.5 - 12.0],11.2416792,10.5232978,11.9600607
Spain,2013,31.1 [29.6 - 32.6],31.1092026,29.5841635,32.6342417
Russian Federation,2004,41.1 [39.0 - 43.3],41.1157119,38.9524048,43.279019
Ireland,2003,17.9 [16.8 - 19.0],17.9151628,16.8420265,18.9882991
Norway,2007,29.7 [27.9 - 31.4],29.6602806,27.9388225,31.3817387
Tajikistan,2013,83.7 [79.5 - 87.8],83.651283,79.538037,87.764529
Kyrgyzstan,2003,85.3 [81.9 - 88.7],85.3252232,81.9252736,88.7251728
Azerbaijan,2012,91.3 [87.9 - 94.8],91.3280922,87.9059926,94.7501918
Switzerland,2017,19.9 [18.6 - 21.2],19.8963518,18.5548788,21.2378248
Romania,2017,31.2 [28.8 - 33.6],31.2155514,28.8449317,33.5861711
Netherlands (Kingdom of the),2002,21.6 [20.5 - 22.7],21.6080124,20.5333425,22.6826823
Slovenia,2018,19.9 [18.8 - 21.0],19.9377714,18.8321799,21.043363
Lithuania,2017,25.0 [23.3 - 26.6],24.963966,23.3083515,26.6195805
Romania,2004,32.2 [28.6 - 35.7],32.1510315,28.6265105,35.6755525
Republic of Moldova,2006,37.2 [34.7 - 39.8],37.2207768,34.6542966,39.787257
Romania,2012,16.6 [15.2 - 18.1],16.6418132,15.1742593,18.1093671
Ukraine,2004,33.7 [31.3 - 36.0],33.6737783,31.3100984,36.0374581
Republic of Moldova,2011,37.2 [34.7 - 39.7],37.1743774,34.6542455,39.6945093
Albania,2008,60.1 [57.8 - 62.4],60.0942571,57.7554668,62.4330475
Czechia,2010,17.6 [16.6 - 18.6],17.6125664,16.6380647,18.5870681
United Kingdom of Great Britain and Northern Ireland,2012,15.1 [14.3 - 15.9],15.1320549,14.3249121,15.9391977
Latvia,2009,33.2 [30.9 - 35.4],33.1667302,30.8896011,35.4438593
Croatia,2011,21.1 [19.9 - 22.2],21.0553844,19.9203577,22.1904112
Ireland,2007,11.4 [10.6 - 12.1],11.3613531,10.6410596,12.0816466
Finland,2008,13.4 [12.6 - 14.1],13.3524157,12.6221296,14.0827018
Austria,2016,26.8 [25.3 - 28.2],26.7545796,25.3264562,28.1827031
Hungary,2010,19.8 [18.7 - 20.9],19.7864167,18.7178325,20.8550008
Montenegro,2016,59.6,59.6,,
Albania,2017,62.6 [60.3 - 64.9],62.5915737,60.3008419,64.8823054
Estonia,2008,29.3 [27.4 - 31.2],29.3240862,27.4039775,31.2441949
North Macedonia,2018,57.2 [53.5 - 61.0],57.2274912,53.4870225,60.9679599
Albania,2018,49.8 [47.5 - 52.0],49.7603616,47.5416153,51.9791079
Turkmenistan,2011,90.1 [86.8 - 93.3],90.0752358,86.8200619,93.3304098
Czechia,2004,25.5 [24.1 - 26.9],25.5018799,24.0790361,26.9247237
Poland,2016,34.6 [32.9 - 36.3],34.5631656,32.8616705,36.2646607
Kazakhstan,2009,68.8 [64.5 - 73.1],68.822675,64.528334,73.1170161
Cyprus,2005,38.3 [36.0 - 40.6],38.3073205,35.9949246,40.6197163
Russian Federation,2001,42.0 [39.8 - 44.2],42.0264142,39.807174,44.2456544
Bosnia and Herzegovina,2010,58.2 [54.4 - 62.0],58.1894242,54.3512708,62.0275775
Finland,2005,13.8 [13.0 - 14.6],13.8002622,13.0335885,14.5669358
Belgium,2013,14.5 [13.7 - 15.3],14.5163926,13.7337931,15.298992
North Macedonia,2003,54.0 [50.3 - 57.6],53.955313,50.346071,57.5645549
Slovakia,2013,35.4 [33.7 - 37.2],35.4106539,33.661457,37.1598508
Israel,2002,41.1 [38.3 - 43.8],41.0928451,38.3401462,43.8455439
Cyprus,2008,38.2 [35.8 - 40.5],38.1986228,35.8478237,40.5494218
France,2014,15.1 [14.3 - 16.0],15.1485178,14.3270427,15.9699928
Croatia,2018,39.9 [38.0 - 41.9],39.9438464,37.9658503,41.9218426
Romania,2005,17.4 [15.7 - 19.2],17.4426485,15.6842719,19.2010251
Latvia,2020,17.1 [15.9 - 18.3],17.1226424,15.9223732,18.3229116
Sweden,2005,23.8 [22.6 - 25.0],23.8214285,22.6191679,25.0236891
Slovenia,2015,35.7 [33.9 - 37.4],35.6708608,33.907262,37.4344596
Romania,2018,24.0 [22.0 - 26.0],23.9875296,22.0188298,25.9562295
Iceland,2006,22.3 [21.1 - 23.5],22.3226751,21.1210769,23.5242732
Greece,2018,36.9 [35.1 - 38.7],36.9023079,35.0713572,38.7332586
Türkiye,2010,90.3 [88.6 - 92.0],90.2732762,88.5888416,91.9577108
Greece,2013,35.2 [33.4 - 37.0],35.2050162,33.4021929,37.0078396
Iceland,2002,16.4 [15.5 - 17.4],16.434946,15.465842,17.4040499
Germany,2004,21.5 [20.3 - 22.6],21.4509642,20.2880757,22.6138528
Russian Federation,2002,52.0 [49.5 - 54.6],52.0495013,49.4858283,54.6131744
Bulgaria,2019,43.3 [41.0 - 45.6],43.3107641,41.0099544,45.6115737
Cyprus,2006,29.9 [28.0 - 31.8],29.8857088,28.0015152,31.7699024
Croatia,2007,30.6 [29.1 - 32.2],30.6269931,29.0673875,32.1865987
Portugal,2006,21.1 [19.9 - 22.3],21.0814341,19.8741405,22.2887278
North Macedonia,2003,42.6 [39.3 - 45.9],42.6083419,39.2670602,45.9496236
Netherlands (Kingdom of the),2004,21.8 [20.8 - 22.9],21.8444109,20.7664187,22.9224031
Slovenia,2019,35.6 [33.7 - 37.5],35.5791298,33.7053826,37.452877
Netherlands (Kingdom of the),2015,15.6 [14.7 - 16.5],15.6362283,14.749509,16.5229476
Albania,2002,39.1 [37.0 - 41.2],39.1295029,37.0360198,41.222986
Poland,2003,20.6 [19.4 - 21.8],20.6124554,19.4069726,21.8179383
Hungary,2005,18.8 [17.7 - 19.8],18.7534961,17.6943141,19.8126782
Croatia,2017,40.1 [38.1 - 42.1],40.0762287,38.0970601,42.0553972
Bosnia and Herzegovina,2008,45.1 [41.5 - 48.7],45.1230397,41.4989382,48.7471412
Georgia,2006,45.7 [42.6 - 48.8],45.7138736,42.6009558,48.8267913
Croatia,2007,21.2 [20.1 - 22.4],21.2423551,20.083562,22.4011481
Portugal,2016,14.4 [13.6 - 15.2],14.4271481,13.6260124,15.2282839
Croatia,2003,38.6 [36.6 - 40.6],38.6111623,36.5848156,40.637509
Armenia,2010,39.8 [37.0 - 42.5],39.7617053,37.0352668,42.4881439
Germany,2013,14.0 [13.2 - 14.7],13.9837879,13.2218488,14.745727
Bulgaria,2012,24.1 [22.6 - 25.5],24.0521822,22.6183704,25.485994
Malta,2012,16.7 [15.7 - 17.7],16.7214738,15.7410885,17.7018591
Albania,2003,50.9 [48.8 - 53.0],50.8958761,48.7532815,53.0384706
Denmark,2011,21.6 [20.5 - 22.7],21.6300835,20.5341245,22.7260425
Denmark,2020,21.7 [20.4 - 23.0],21.7124347,20.4082222,23.0166471
Republic of Moldova,2004,30.1 [27.9 - 32.4],30.1483548,27.9394517,32.357258
Bosnia and Herzegovina,2017,44.3 [40.8 - 47.8],44.3132101,40.79776,47.8286602
Sweden,2008,15.6 [14.7 - 16.4],15.5734778,14.7264919,16.4204638
Norway,2019,23.1 [21.5 - 24.6],23.0510133,21.4526976,24.649329
Bosnia and Herzegovina,2006,46.2 [42.4 - 49.9],46.1539222,42.4474563,49.860388
Belgium,2013,21.8 [20.7 - 22.9],21.7808685,20.6812452,22.8804918
Malta,2010,25.6 [24.2 - 27.0],25.629029,24.2311484,27.0269097
Andorra,2015,12.6 [11.7 - 13.4],12.5583853,11.702694,13.4140766
Poland,2012,27.2 [25.8 - 28.5],27.1617913,25.7967347,28.526848
Cyprus,2004,19.8 [18.4 - 21.1],19.7785198,18.428897,21.1281427
Lithuania,2001,32.5 [30.2 - 34.9],32.514525,30.1540073,34.8750427
Italy,2014,33.6 [32.0 - 35.2],33.6113697,31.9975957,35.2251436
Ireland,2002,12.0 [11.2 - 12.9],12.0377806,11.2175395,12.8580217
Netherlands (Kingdom of the),2006,14.5 [13.7 - 15.2],14.4590223,13.6950169,15.2230277
Bulgaria,2009,35.4 [33.4 - 37.4],35.4270098,33.4269637,37.427056
Switzerland,2019,25.7 [23.9 - 27.5],25.6883554,23.8916195,27.4850913
Switzerland,2006,20.3 [19.3 - 21.4],20.3163967,19.2788345,21.3539589
Croatia,2014,22.2 [21.0 - 23.4],22.2418794,21.0374145,23.4463443
Andorra,2006,19.0 [17.7 - 20.2],18.9614074,17.7392371,20.1835778
Türkiye,2017,89.4 [87.6 - 91.3],89.4438426,87.5913912,91.2962941
Türkiye,2016,94.3 [92.9 - 95.6],94.2735783,92.9366651,95.6104914
Cyprus,2007,38.4 [36.1 - 40.8],38.4485518,36.1160625,40.781041
Latvia,2010,26.5 [24.6 - 28.4],26.5129492,24.6482104,28.377688
Italy,2004,23.9 [22.6 - 25.1],23.8759124,22.6490768,25.1027481
Switzerland,2014,19.8 [18.5 - 21.0],19.7643471,18.5289788,20.9997154
Israel,2001,30.3 [28.1 - 32.6],30.3283996,28.059748,32.5970512
Poland,2017,18.4 [17.4 - 19.3],18.3595473,17.3777399,19.3413547
Georgia,2020,33.2 [30.8 - 35.6],33.2010125,30.8367081,35.565317
Netherlands (Kingdom of the),2010,22.1 [21.0 - 23.2],22.1261207,21.0094803,23.2427611
United Kingdom of Great Britain and Northern Ireland,2016,22.1 [21.0 - 23.2],22.0631236,20.9509908,23.1752565
Finland,2014,21.8 [20.7 - 22.9],21.8129596,20.6874372,22.9384819
Kazakhstan,2011,76.8 [72.7 - 80.9],76.7975819,72.7254374,80.8697264
Belarus,2004,30.4 [28.2 - 32.6],30.4403615,28.2487299,32.6319931
Latvia,2004,19.1 [17.6 - 20.6],19.0869745,17.5785417,20.5954073
Bosnia and Herzegovina,2012,45.4 [41.8 - 49.1],45.449662,41.8075118,49.0918122
Romania,2013,16.6 [15.2 - 18.1],16.615455,15.1721041,18.0588058
Bosnia and Herzegovina,2009,58.0 [54.1 - 61.8],57.9554189,54.1235289,61.7873089
Kyrgyzstan,2004,70.2 [66.1 - 74.2],70.1573659,66.0941248,74.220607
Sweden,2014,22.8 [21.6 - 23.9],22.7575962,21.5786916,23.9365008
North Macedonia,2007,67.7 [63.7 - 71.6],67.6665723,63.7316269,71.6015178
Denmark,2009,22.0 [20.9 - 23.1],22.0340938,20.937334,23.1308536
United Kingdom of Great Britain and Northern Ireland,2011,22.2 [21.1 - 23.4],22.2456401,21.1390223,23.3522578
Belgium,2000,14.8 [14.0 - 15.6],14.7920554,13.9560871,15.6280238
Bulgaria,2014,35.1 [33.1 - 37.0],35.0677772,33.1464951,36.9890593
Switzerland,2011,13.3 [12.5 - 14.1],13.3425367,12.5429416,14.1421319
Israel,2001,51.2 [48.0 - 54.4],51.2312798,48.0216276,54.4409321
Kyrgyzstan,2007,86.0 [82.6 - 89.4],86.0048555,82.5917645,89.4179465
Belgium,2019,22.3 [21.1 - 23.5],22.3007789,21.0689569,23.5326009
Ukraine,2007,32.1 [29.8 - 34.3],32.0675646,29.8046772,34.330452
Latvia,2003,19.4 [17.8 - 21.0],19.401505,17.8419344,20.9610755
Austria,2003,27.6 [26.2 - 29.0],27.5989233,26.1623937,29.035453
Ukraine,2015,23.6 [21.7 - 25.5],23.5819595,21.7000476,25.4638715
Croatia,2020,32.5 [30.8 - 34.1],32.4572354,30.7943548,34.1201161
United Kingdom of Great Britain and Northern Ireland,2020,29.0 [27.5 - 30.4],28.9692084,27.5290001,30.4094168
Albania,2013,50.4 [48.1 - 52.6],50.3506864,48.1458495,52.5555232
North Macedonia,2005,43.7 [40.2 - 47.1],43.6743277,40.2436033,47.1050521
Georgia,2018,53.2 [49.7 - 56.8],53.2445923,49.6987567,56.7904279
Romania,2006,32.2 [29.2 - 35.2],32.1805914,29.1983905,35.1627923
Malta,2019,28.4 [26.9 - 29.9],28.3642176,26.8770091,29.851426
Cyprus,2011,41.1 [38.6 - 43.7],41.1268096,38.554447,43.6991723
Norway,2008,28.8 [27.0 - 30.6],28.7795519,26.9712199,30.5878839
Croatia,2014,40.8 [38.8 - 42.8],40.7827781,38.7781556,42.7874007
Ireland,2012,18.2 [17.2 - 19.1],18.1752053,17.2108917,19.1395188
Estonia,2013,15.5 [14.3 - 16.7],15.512992,14.3406229,16.6853611
Uzbekistan,2017,90.9 [87.7 - 94.2],90.9164453,87.6677936,94.165097
Netherlands (Kingdom of the),2008,14.4 [13.6 - 15.2],14.3991301,13.6221598,15.1761004
Albania,2004,62.9 [60.7 - 65.1],62.873203,60.6591435,65.0872624
Malta,2006,32.4 [30.6 - 34.2],32.4164383,30.6169642,34.2159125
Tajikistan,2015,83.3 [79.1 - 87.4],83.2529658,79.1089832,87.3969485
Bulgaria,2000,45.9 [43.2 - 48.7],45.9389858,43.2117865,48.6661851
Finland,2015,29.1 [27.7 - 30.6],29.1391474,27.6631969,30.6150979
Kyrgyzstan,2008,71.7 [67.4 - 75.9],71.6838916,67.4212063,75.946577
Poland,2004,20.4 [19.2 - 21.6],20.3723343,19.192535,21.5521337
Bulgaria,2005,46.1 [43.5 - 48.7],46.0856676,43.467103,48.7042323
Ireland,2019,11.7 [10.7 - 12.7],11.7107428,10.6736267,12.7478588
Andorra,2020,13.1 [12.2 - 14.0],13.0750258,12.1782802,13.9717714
Armenia,2004,61.3 [57.3 - 65.3],61.2946706,57.2817472,65.307594
Netherlands (Kingdom of the),2014,15.5 [14.7 - 16.4],15.5354486,14.6643479,16.4065494
Belgium,2004,14.8 [14.0 - 15.6],14.8178441,14.0149549,15.6207332
Uzbekistan,2020,85.7 [81.9 - 89.6],85.7354096,81.852681,89.6181382
Ireland,2007,22.0 [20.7 - 23.3],21.9891619,20.6729629,23.3053609
Latvia,2016,25.5 [23.8 - 27.2],25.4754445,23.7959542,27.1549349
Spain,2017,21.2 [20.1 - 22.2],21.1752123,20.1375337,22.2128909
Luxembourg,2019,19.9 [17.5 - 22.4],19.9498317,17.5384495,22.3612139
Andorra,2015,21.1 [19.8 - 22.4],21.0641852,19.7664885,22.3618819
Belarus,2005,31.0 [28.7 - 33.2],30.9518388,28.746118,33.1575596
France,2015,23.0 [21.8 - 24.2],23.0024412,21.8297112,24.1751712
Portugal,2007,13.7 [12.9 - 14.6],13.742208,12.9231678,14.5612483
Bulgaria,2005,25.9 [24.3 - 27.6],25.9295608,24.290676,27.5684456
Norway,2010,29.6 [27.8 - 31.4],29.6074581,27.8393498,31.3755665
Republic of Moldova,2012,21.4 [19.7 - 23.2],21.4055905,19.6572689,23.153912
Italy,2011,17.1 [16.1 - 18.0],17.0646635,16.1273731,18.0019538
Slovenia,2006,34.8 [33.1 - 36.6],34.8483209,33.1034794,36.5931624
Ireland,2001,12.2 [11.4 - 13.1],12.2475255,11.3900431,13.105008
Czechia,2019,24.8 [23.4 - 26.2],24.8057573,23.3628962,26.2486184
Malta,2010,17.2 [16.2 - 18.3],17.2311377,16.2102061,18.2520693
Switzerland,2004,27.0 [25.7 - 28.3],27.0228957,25.7009144,28.3448769
Hungary,2015,28.4 [26.9 - 29.8],28.3614395,26.9414571,29.7814219
Slovenia,2015,27.5 [26.1 - 28.9],27.4889178,26.1071394,28.8706961
Norway,2019,16.0 [14.9 - 17.2],16.0122974,14.8653024,17.1592923
Romania,2000,32.5 [29.4 - 35.7],32.5156152,29.376185,35.6550454
Uzbekistan,2020,79.8 [75.1 - 84.4],79.7624215,75.1365,84.3883429
Switzerland,2016,13.5 [12.6 - 14.4],13.4816503,12.5587696,14.404531
Ukraine,2001,23.5 [21.6 - 25.4],23.5080085,21.6262135,25.3898035
Israel,2003,52.1 [48.8 - 55.4],52.1069759,48.8219784,55.3919733
Portugal,2007,27.9 [26.4 - 29.5],27.9324674,26.3952618,29.469673
France,2016,30.0 [28.5 - 31.5],29.999843,28.5092077,31.4904783
Czechia,2009,32.3 [30.6 - 34.1],32.3334888,30.5870473,34.0799302
Israel,2008,51.0 [47.9 - 54.2],51.0359325,47.8701496,54.2017155
Denmark,2007,28.0 [26.7 - 29.4],28.0211975,26.6617535,29.3806416
Slovakia,2008,26.7 [25.4 - 28.1],26.7419361,25.3775515,28.1063207
Albania,2006,37.4 [35.3 - 39.5],37.4303818,35.3337848,39.5269789
Norway,2017,23.2 [21.6 - 24.7],23.1827119,21.6296507,24.7357731
Türkiye,2019,89.7 [87.9 - 91.5],89.7133408,87.9051478,91.5215338
Iceland,2002,23.9 [22.6 - 25.2],23.8787233,22.5720679,25.1853787
Monaco,2016,No data,,,
Malta,2018,14.2 [13.4 - 14.9],14.1510382,13.3592777,14.9427987
Belarus,2008,35.3 [32.6 - 38.0],35.3000699,32.6152959,37.984844
Lithuania,2009,30.6 [28.6 - 32.6],30.630066,28.6490535,32.6110786
Poland,2002,38.5 [36.4 - 40.7],38.5444326,36.4244851,40.6643802
Estonia,2016,16.1 [15.0 - 17.2],16.1065106,14.9899225,17.2230987
Malta,2000,28.3 [26.6 - 30.1],28.3196998,26.5657187,30.073681
Azerbaijan,2001,86.4 [83.2 - 89.7],86.4273038,83.1793902,89.6752174
Malta,2015,31.2 [29.7 - 32.8],31.2417772,29.657951,32.8256034
Türkiye,2009,94.7 [93.5 - 96.0],94.739431,93.5256687,95.9531934
Spain,2013,15.4 [14.5 - 16.2],15.3678426,14.527266,16.2084192
Ukraine,2012,21.9 [20.2 - 23.7],21.9481869,20.1677823,23.7285914
Georgia,2000,47.9 [44.7 - 51.0],47.85744,44.6918,51.0230799
Armenia,2007,51.5 [48.1 - 54.9],51.4883371,48.0538521,54.922822
Denmark,2015,29.3 [27.8 - 30.8],29.3098471,27.8116874,30.8080068
Slovenia,2002,20.3 [19.2 - 21.4],20.3061616,19.2082713,21.4040519
