Dimension,Code,Title,ParentDimension,ParentCode,ParentTitle
GHO,SA_0000001474,Alcoholic excise tax revenue as a per cent of government revenue,,,
GHO,SA_0000001475,Annual revenues from alcohol excise tax in millions US$,,,
GHO,SA_0000001476,Alcohol expenditure as a per cent of total household expenditure,,,
GHO,SA_0000001547,Excise duty (average) per hectolitre in Euros,,,
GHO,SA_0000001829,Average price 500 mls Beer in US$,,,
GHO,SA_0000001830,Average price 750 mls Wine in US$,,,
GHO,SA_0000001831,Average price 500 mls Spirits in US$,,,
